# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 02 Mar 2021 23:00:04 +0100
#
# IP	number of (black)lists
#
171.25.193.20	10
51.77.135.89	9
171.25.193.77	9
171.25.193.78	9
62.210.105.116	8
185.220.102.244	8
185.220.102.245	8
185.220.102.249	8
162.247.74.74	8
185.220.102.4	8
198.144.121.93	8
64.113.32.29	8
51.75.52.118	8
185.220.101.134	7
185.213.155.169	7
185.220.102.247	7
185.220.102.242	7
185.220.102.243	7
185.220.102.248	7
23.129.64.232	7
54.39.16.73	7
185.38.175.72	7
178.20.55.18	7
185.220.100.252	7
192.42.116.16	7
185.130.44.108	7
185.220.101.218	7
185.220.101.212	7
185.220.101.133	7
162.247.74.217	7
45.148.10.54	7
23.129.64.227	7
23.129.64.228	7
51.89.153.65	7
51.75.144.43	7
185.56.80.65	7
185.220.102.250	7
62.102.148.69	7
62.102.148.68	7
192.42.116.24	7
195.206.105.217	7
51.158.111.157	7
162.247.74.201	7
5.196.29.8	7
84.53.192.243	7
158.69.126.135	7
185.220.101.9	7
185.220.101.8	7
185.220.101.3	7
185.220.101.1	7
195.254.135.76	7
198.96.155.3	7
185.165.168.229	7
185.220.102.8	7
77.247.181.165	7
77.247.181.163	7
176.10.104.240	7
93.174.95.106	7
185.220.103.7	7
171.25.193.25	7
176.10.99.200	7
185.220.102.253	7
23.129.64.208	7
23.129.64.204	7
45.129.56.200	7
185.220.101.194	7
162.247.72.199	7
45.9.13.235	7
185.220.101.146	7
185.220.101.207	7
185.220.101.204	7
185.220.101.200	7
80.67.172.162	7
128.31.0.13	6
1.180.211.138	6
185.220.100.255	6
185.220.102.7	6
188.214.104.146	6
185.220.102.240	6
185.220.102.241	6
104.244.78.231	6
205.185.125.54	6
142.44.246.156	6
54.39.50.28	6
135.125.102.169	6
23.129.64.234	6
91.192.103.35	6
185.107.47.171	6
23.129.64.209	6
195.206.107.147	6
222.187.239.31	6
62.210.185.4	6
45.154.255.147	6
46.165.245.154	6
23.129.64.203	6
178.20.55.16	6
107.189.10.93	6
217.170.205.14	6
221.181.185.140	6
221.181.185.143	6
221.181.185.148	6
209.127.17.242	6
192.160.102.170	6
209.141.45.21	6
185.220.100.253	6
192.42.116.14	6
46.59.65.88	6
221.131.165.124	6
94.230.208.147	6
91.192.103.27	6
192.42.116.15	6
192.42.116.13	6
192.42.116.18	6
192.42.116.19	6
185.220.102.246	6
185.220.101.215	6
185.220.101.216	6
185.220.101.211	6
185.220.101.213	6
185.220.101.193	6
162.247.74.27	6
185.101.35.79	6
207.244.70.35	6
46.148.20.25	6
174.138.42.143	6
162.247.74.7	6
104.244.72.168	6
185.32.222.173	6
104.244.76.13	6
45.15.143.246	6
139.99.105.138	6
209.127.17.234	6
185.220.103.8	6
185.220.100.247	6
185.220.101.17	6
185.220.101.16	6
185.220.101.15	6
185.220.101.13	6
185.220.101.12	6
82.221.131.71	6
192.42.116.23	6
192.42.116.22	6
192.42.116.20	6
192.42.116.25	6
51.15.43.205	6
149.202.238.204	6
178.165.72.177	6
185.220.101.14	6
185.34.33.2	6
221.181.185.237	6
91.192.103.16	6
185.247.224.66	6
195.54.160.250	6
162.247.74.200	6
162.247.74.206	6
89.234.157.254	6
91.250.242.12	6
82.221.131.5	6
23.129.64.235	6
91.192.103.10	6
91.192.103.11	6
91.192.103.15	6
91.192.103.17	6
167.88.7.134	6
185.174.43.9	6
185.174.43.5	6
185.174.43.7	6
185.174.43.6	6
185.174.43.2	6
185.220.101.7	6
185.220.101.5	6
185.220.101.4	6
23.129.64.212	6
23.129.64.217	6
91.192.103.33	6
80.82.77.139	6
62.210.37.82	6
194.105.205.42	6
23.129.64.253	6
198.251.89.80	6
185.130.44.124	6
185.220.101.24	6
185.220.101.22	6
185.220.101.21	6
185.220.102.6	6
5.8.10.202	6
104.244.74.28	6
185.220.103.5	6
185.247.224.14	6
66.230.230.230	6
80.82.70.118	6
185.220.102.254	6
185.220.102.252	6
185.220.102.251	6
185.220.103.10	6
221.181.185.29	6
23.129.64.202	6
23.129.64.200	6
23.129.64.201	6
23.129.64.206	6
23.129.64.207	6
91.192.103.25	6
91.192.103.24	6
91.192.103.26	6
185.220.101.198	6
185.220.101.197	6
212.21.66.6	6
185.32.222.171	6
185.32.222.172	6
51.79.69.241	6
205.185.127.35	6
141.98.252.163	6
162.247.73.192	6
91.149.225.120	6
202.126.93.131	6
185.220.101.208	6
185.220.101.206	6
185.220.101.205	6
185.220.101.203	6
185.220.101.201	6
185.100.87.206	6
185.100.87.207	6
23.129.64.223	5
23.129.64.225	5
80.82.77.33	5
1.180.211.139	5
107.189.11.153	5
106.51.76.223	5
107.189.10.237	5
106.12.102.210	5
198.98.57.207	5
71.6.199.23	5
92.246.84.133	5
92.204.174.134	5
91.132.147.168	5
154.221.19.204	5
103.75.34.219	5
139.198.1.16	5
185.107.70.202	5
111.40.217.92	5
23.129.64.237	5
23.129.64.236	5
23.129.64.230	5
154.83.14.44	5
122.176.79.222	5
91.192.103.34	5
185.38.175.71	5
206.189.58.11	5
199.195.250.77	5
101.69.200.162	5
45.154.35.236	5
119.29.0.36	5
89.144.12.17	5
185.42.170.203	5
185.220.100.251	5
185.220.100.254	5
218.92.0.165	5
178.175.131.194	5
104.244.77.95	5
113.31.144.153	5
142.44.241.142	5
192.42.116.17	5
91.149.225.131	5
166.70.207.2	5
104.244.73.13	5
91.176.33.231	5
212.64.71.254	5
51.178.30.102	5
104.248.158.100	5
118.193.38.5	5
209.141.45.189	5
40.123.248.170	5
212.70.149.55	5
23.129.64.226	5
144.168.164.26	5
106.52.106.170	5
45.155.205.225	5
206.172.233.212	5
185.220.101.139	5
185.220.101.138	5
141.98.80.69	5
217.170.206.138	5
185.12.45.114	5
107.189.30.100	5
162.247.74.216	5
115.231.0.56	5
203.245.29.148	5
198.98.50.112	5
190.223.38.195	5
209.141.41.45	5
104.244.77.101	5
167.86.94.107	5
121.4.53.226	5
62.210.207.136	5
195.176.3.19	5
41.110.141.3	5
51.178.215.243	5
87.118.116.103	5
23.129.64.224	5
104.244.73.205	5
198.98.51.151	5
119.45.141.173	5
160.155.113.19	5
222.187.222.55	5
211.155.225.104	5
49.233.34.9	5
139.162.247.102	5
94.102.49.193	5
89.248.167.131	5
123.127.244.100	5
67.205.138.198	5
94.142.244.16	5
45.153.160.131	5
45.153.160.139	5
185.220.100.246	5
185.220.100.244	5
185.220.100.242	5
185.220.100.240	5
185.220.100.249	5
185.220.101.11	5
185.220.101.10	5
185.220.101.18	5
185.165.190.34	5
218.92.0.158	5
81.161.63.100	5
185.220.101.195	5
205.185.117.149	5
192.42.116.27	5
192.42.116.26	5
192.42.116.28	5
104.244.73.193	5
217.170.206.146	5
185.100.86.128	5
51.140.228.73	5
112.4.114.151	5
144.217.80.80	5
104.244.77.122	5
46.166.139.111	5
85.93.218.204	5
176.31.46.240	5
101.71.3.53	5
185.220.101.129	5
61.177.172.13	5
37.49.229.191	5
137.74.169.241	5
162.247.74.202	5
162.247.74.204	5
185.117.215.9	5
152.136.184.12	5
81.161.63.103	5
31.7.61.188	5
221.181.185.198	5
45.130.138.108	5
221.181.185.19	5
198.251.83.248	5
178.73.215.171	5
104.244.74.211	5
195.176.3.23	5
195.176.3.20	5
195.176.3.24	5
103.205.5.158	5
51.210.80.127	5
51.161.59.45	5
213.27.189.252	5
94.102.49.190	5
41.226.25.4	5
81.17.16.150	5
212.47.229.4	5
218.245.1.169	5
162.213.3.221	5
185.174.43.8	5
185.174.43.3	5
185.220.101.6	5
46.17.252.134	5
210.12.71.170	5
195.144.21.219	5
23.129.64.210	5
23.129.64.213	5
23.129.64.216	5
218.92.0.175	5
218.92.0.172	5
18.27.197.252	5
51.68.141.101	5
5.2.69.15	5
167.172.107.176	5
190.144.163.254	5
130.149.80.199	5
218.92.0.145	5
185.220.101.2	5
178.17.170.179	5
221.131.165.86	5
162.247.74.213	5
81.161.63.253	5
89.163.143.8	5
45.15.16.82	5
45.128.133.242	5
185.170.114.25	5
106.38.121.162	5
209.141.41.103	5
218.92.0.185	5
218.92.0.184	5
204.85.191.9	5
178.128.105.7	5
178.62.78.193	5
42.193.169.88	5
221.181.185.220	5
71.6.135.131	5
206.189.138.99	5
66.240.219.146	5
185.220.103.9	5
185.220.103.6	5
193.31.24.154	5
185.220.100.241	5
95.216.145.1	5
1.193.160.164	5
97.74.237.196	5
111.67.206.20	5
43.231.129.193	5
45.93.201.193	5
128.199.121.144	5
46.232.251.191	5
